"ANO_ELEICAO","UF","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","QTDE_VOTOS"
"2018","TO","2","17","PRESIDENTE","356684"
"2018","TO","2","95","PRESIDENTE","7688"
"2018","TO","2","96","PRESIDENTE","45111"
"2018","ZZ","1","12","PRESIDENTE","27991"
"2018","ZZ","1","13","PRESIDENTE","19485"
"2018","ZZ","1","15","PRESIDENTE","947"
"2018","ZZ","1","16","PRESIDENTE","349"
"2018","ZZ","1","17","PRESIDENTE","113382"
"2018","ZZ","1","18","PRESIDENTE","4953"
"2018","ZZ","1","19","PRESIDENTE","2728"
"2018","ZZ","1","27","PRESIDENTE","178"
"2018","ZZ","1","30","PRESIDENTE","13604"
"2018","ZZ","1","45","PRESIDENTE","6648"
"2018","ZZ","1","50","PRESIDENTE","1271"
"2018","ZZ","1","51","PRESIDENTE","1171"
"2018","ZZ","1","54","PRESIDENTE","152"
"2018","ZZ","1","95","PRESIDENTE","5042"
"2018","ZZ","1","96","PRESIDENTE","4334"
"2018","ZZ","2","13","PRESIDENTE","53599"
"2018","ZZ","2","17","PRESIDENTE","131301"
"2018","ZZ","2","95","PRESIDENTE","7233"
"2018","ZZ","2","96","PRESIDENTE","8500"
