ANO_ELEICAO,NUM_TURNO,DESCRICAO_ELEICAO,SIGLA_UF,SIGLA_UE,NUMERO_PARTIDO,SIGLA_PARTIDO,NUMERO_CANDIDATO,DES_SITUACAO_CANDIDATURA,IDADE_DATA_ELEICAO,DESCRICAO_SEXO,DESCRICAO_GRAU_INSTRUCAO,DESCRICAO_ESTADO_CIVIL,DESCRICAO_COR_RACA,DESC_SIT_TOT_TURNO
2014,1,Eleições Gerais 2014,AL,AL,23,PPS,2346,RENÚNCIA,33,FEMININO,SUPERIOR COMPLETO,SEPARADO(A) JUDICIALMENTE,BRANCA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,51,PEN,5151,INDEFERIDO,46,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,51,PEN,5150,INDEFERIDO,48,FEMININO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,10,PRB,1044,RENÚNCIA,38,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,45,PSDB,4553,DEFERIDO,54,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,10,PRB,1001,DEFERIDO,53,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1555,DEFERIDO,43,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,44,PRP,4444,DEFERIDO,26,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,77,SD,7788,INDEFERIDO,59,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,22,PR,2299,DEFERIDO,37,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2800,DEFERIDO,56,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AL,AL,45,PSDB,4550,DEFERIDO,33,MASCULINO,ENSINO MÉDIO INCOMPLETO,SEPARADO(A) JUDICIALMENTE,BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2877,DEFERIDO,27,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,16,PSTU,1616,DEFERIDO,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1551,DEFERIDO,34,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,23,PPS,2333,DEFERIDO,25,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1515,DEFERIDO,34,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AL,AL,10,PRB,1023,RENÚNCIA,32,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,#NULO#
2014,1,Eleições Gerais 2014,AL,AL,45,PSDB,4599,DEFERIDO,52,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,43,PV,4312,DEFERIDO,49,FEMININO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2850,DEFERIDO,45,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,23,PPS,2311,DEFERIDO,57,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,40,PSB,4000,DEFERIDO,56,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,11,PP,1113,RENÚNCIA,53,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,#NULO#
