dbn,school_name,num_of_sat_test_takers,critical_reading_mean,math_mean,writing_mean,building_code,location_name,location_code,address,geographical_district_code,postcode,latitude,longitude,geo_cat_code
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364,K650,Williamsburg High School for Architecture and Desi,K558,257 NORTH  6 STREET,14,11211,40.715073,-73.954754,13-16
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380,K650,Williamsburg Preparatory School,K561,257 NORTH  6 STREET,14,11211,40.715073,-73.954754,13-16
14K586,LYONS COMMUNITY SCHOOL,31,371,377,355,K049,Lyons Community School,K586,223 GRAHAM AVENUE,14,11206,40.709941,-73.943641,13-16
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350,K610,Automotive High School,K610,50 BEDFORD AVENUE,14,11222,40.721981,-73.953281,13-16
14K632,FRANCES PERKINS ACADEMY,12,382,372,368,K610,Frances Perkins Academy,K632,50 BEDFORD AVENUE,14,11222,40.721981,-73.953281,13-16
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341,K778,El Puente Academy for Peace and Justice,K685,250 HOOPER STREET,14,11211,40.705898,-73.955611,13-16
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383,K293,Brooklyn School for Global Studies,K429,284 BALTIC STREET,15,11201,40.685419,-73.993351,13-16
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387,K142,Brooklyn Secondary School for Collaborative Studie,K448,610 HENRY STREET,15,11231,40.68007,-74.001377,13-16
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,394,K460,Secondary School for Law,K462,237 7 AVENUE,15,11215,40.669629,-73.979287,13-16
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381,K460,Secondary School for Journalism,K463,237 7 AVENUE,15,11215,40.669629,-73.979287,13-16
15K464,PARK SLOPE COLLEGIATE,72,379,416,380,K460,Park Slope Collegiate,K464,237 7 AVENUE,15,11215,40.669629,-73.979287,13-16
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392,K293,School for International Studies,K497,284 BALTIC STREET,15,11201,40.685419,-73.993351,13-16
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385,K804,Cobble Hill School of American Studies,K519,347 BALTIC STREET,15,11201,40.684524,-73.990993,13-16
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368,K806,Metropolitan Corporate Academy High School,K530,362 SCHERMERHORN STREET,15,11217,40.686499,-73.979649,13-16
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,421,411,K655,Brooklyn High School of the Arts,K656,345 DEAN STREET,15,11217,40.683559,-73.98027,13-16
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425,K825,South Brooklyn Community High School,K698,173 CONOVER STREET,15,11231,40.677969,-74.014363,13-16
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358,K026,Frederick Douglass Academy IV Secondary School,K393,1014 LAFAYETTE AVENUE,16,11221,40.692126,-73.931731,13-16
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362,K455,Boys and Girls High School,K455,1700 FULTON STREET,16,11213,40.67944,-73.932407,13-16
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358,K987,Brooklyn High School for Law and Technology,K498,1396 BROADWAY,16,11221,40.688831,-73.920906,13-16
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351,K040,Gotham Professional Arts Academy,K594,265 RALPH AVENUE,16,11233,40.680463,-73.922264,13-16
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369,K465,Academy for College Preparation and Career Explora,K382,911 FLATBUSH AVENUE,17,11226,40.649787,-73.95855,17-20
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351,K465,Academy of Hospitality and Tourism,K408,911 FLATBUSH AVENUE,17,11226,40.649787,-73.95855,17-20
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334,K824,W.E.B. Dubois Academic High School,K489,402 EASTERN PARKWAY,17,11225,40.6701,-73.954972,17-20
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291,K440,International High School at Prospect Heights,K524,883 CLASSON AVENUE,17,11225,40.670349,-73.961695,17-20
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388,K440,The High School for Global Citizenship,K528,883 CLASSON AVENUE,17,11225,40.670349,-73.961695,17-20
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359,K470,"School for Human Rights, The",K531,600 KINGSTON AVENUE,17,11203,40.658893,-73.942458,17-20
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372,K470,School for Democracy and  Leadership,K533,600 KINGSTON AVENUE,17,11203,40.658893,-73.942458,17-20
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340,K465,High School for Youth and Community Development at,K537,911 FLATBUSH AVENUE,17,11226,40.649787,-73.95855,17-20
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368,K465,High School for Service & Learning at Erasmus,K539,911 FLATBUSH AVENUE,17,11226,40.649787,-73.95855,17-20
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441,K465,"Science, Technology and Research Early College Hig",K543,911 FLATBUSH AVENUE,17,11226,40.649787,-73.95855,17-20
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369,K470,International Arts Business School,K544,600 KINGSTON AVENUE,17,11203,40.658893,-73.942458,17-20
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414,K470,High School for Public Service: Heroes  of Tomorro,K546,600 KINGSTON AVENUE,17,11203,40.658893,-73.942458,17-20
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373,K440,Brooklyn Academy of Science and the Environment,K547,883 CLASSON AVENUE,17,11225,40.670349,-73.961695,17-20
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373,K440,Brooklyn School for Music & Theatre,K548,883 CLASSON AVENUE,17,11225,40.670349,-73.961695,17-20
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335,K907,Brownsville Academy High School,K568,1150 EAST NEW YORK AVENUE,17,11212,40.666518,-73.924057,17-20
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479,K590,Medgar Evers College Preparatory School,K590,1186 CARROLL STREET,17,11225,40.667195,-73.951167,17-20
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413,K600,Clara Barton High School,K600,901 CLASSON AVENUE,17,11225,40.669567,-73.961962,17-20
17K625,PAUL ROBESON HIGH SCHOOL,53,365,363,355,K625,Paul Robeson High School,K625,150 ALBANY AVENUE,17,11213,40.675612,-73.938843,17-20
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330,K415,It Takes a Village Academy,K563,5800 TILDEN AVENUE,18,11203,40.648657,-73.922171,17-20
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394,K515,Brooklyn Generation School,K566,6565 FLATLANDS AVENUE,18,11236,40.633285,-73.916735,17-20
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377,K515,Brooklyn Theatre Arts High School,K567,6565 FLATLANDS AVENUE,18,11236,40.633285,-73.916735,17-20
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,K415,Kurt Hahn Expeditionary Learning School,K569,5800 TILDEN AVENUE,18,11203,40.648657,-73.922171,17-20
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,K515,Victory Collegiate High School,K576,6565 FLATLANDS AVENUE,18,11236,40.633285,-73.916735,17-20
